,H2OSOI,SOILLIQ,SOILICE,TSOI,W_SCALAR,PCT_CLAY,AGNPP,PRECIP,RAIN,SNOW,TBOT,GPP,AR,NPP,LITFALL
0,0.6629096,3.490397,8.957068,-0.7423401,0.23694849,11.8,0.0,4.8832498,0.06194865,4.821301,-6.034607,0.0,0.0725601,-0.0725601,0.96522456
1,0.6780517,2.588379,10.061926,-0.54312134,0.13235754,11.8,0.0,6.1322503,5.7565002,0.37575004,-5.36557,0.0,0.074934624,-0.074934624,0.965457
2,0.68682116,1.7481656,10.993233,-1.4015198,0.02145012,11.8,0.0,0.12275,0.0,0.12275,-6.5186157,0.0,0.0700954,-0.0700954,0.9652597
3,0.6849266,1.6153088,11.080317,-1.8829651,0.021796254,11.8,0.0,0.0,0.0,0.0,-5.237793,0.0,0.07175651,-0.07175651,0.9651491
4,0.6830809,1.6152592,11.046512,-1.1350403,0.028211076,11.8,0.0,2.25375,1.8174229,0.4363272,-2.736908,0.0,0.07731756,-0.07731756,0.9650196
5,0.6819317,1.8235439,10.834437,-0.87109375,0.036878314,11.8,0.0,0.12525,0.0003694875,0.12488051,-4.823395,0.0,0.07457147,-0.07457147,0.9649668
6,0.67965835,1.8811092,10.739957,-1.2671814,0.050891608,11.8,0.0,0.0,0.0,0.0,-7.760376,0.0,0.06720328,-0.06720328,0.96491385
7,0.6773147,1.6067607,10.948552,-3.4444885,0.033871245,11.8,0.0,0.25050002,0.0,0.25050002,-9.056885,0.0,0.0631538,-0.0631538,0.96486104
8,0.67398316,1.4905132,10.99405,-3.419403,0.031422425,11.8,0.0,0.25050002,0.0,0.25050002,-7.321228,0.0,0.06666992,-0.06666992,0.9648083
9,0.6712365,1.4345657,10.994982,-1.793457,0.027529478,11.8,0.0,0.501,0.50041133,0.00058867503,-4.0000916,0.0,0.073462516,-0.073462516,0.96475536
10,0.66879255,1.4527613,10.933473,-1.5345764,0.01896187,11.8,0.0,0.2505,0.0357714,0.2147286,-3.8026428,0.0,0.07402341,-0.07402341,0.9647026
11,0.6668318,1.4113744,10.935465,-2.9233093,0.017136604,11.8,0.0,0.7515,0.62624997,0.12525001,-2.5271912,0.0,0.074927405,-0.074927405,0.9646498
12,0.66854817,1.829521,10.583503,-3.3547363,0.07747623,11.8,0.0,20.27325,20.148,0.12525001,0.5491333,0.0,0.07790522,-0.07790522,0.9645969
13,0.69120157,2.4804823,10.402034,-2.9728699,0.13946624,11.8,0.0,11.263,11.08435,0.17865035,-3.7182922,0.0,0.073832154,-0.073832154,0.9645442
14,0.68908143,1.3681303,11.383179,-3.9182434,0.0009752654,11.8,0.0,0.0,0.0,0.0,-6.402832,0.0,0.068827376,-0.068827376,0.96449137
15,0.6805492,1.5125066,11.094304,-4.0654297,0.045443825,11.8,0.0,0.8742501,0.088711426,0.7855387,-4.450714,0.0,0.072418146,-0.072418146,0.9644385
16,0.67197394,2.0251327,10.466955,-2.455658,0.15178387,11.8,0.0,2.25375,0.0,2.25375,-3.310089,0.0,0.076103605,-0.076103605,0.96438575
17,0.6666508,2.3157008,10.102879,-3.4828796,0.17292735,11.8,0.0,0.0,0.0,0.0,-7.303711,0.0,0.065958396,-0.065958396,0.96433294
18,0.6491239,2.4638374,9.645594,-3.6672668,0.18548468,11.8,0.0,0.0,0.0,0.0,-7.1311646,0.0,0.06608455,-0.06608455,0.96428007
19,0.64730006,1.0416423,10.916297,-3.3522034,0.022782998,11.8,0.0,3.1287498,0.0,3.1287498,-6.301819,0.0,0.066778034,-0.066778034,0.9642273
20,0.64578295,0.97205734,10.952282,-3.4730225,0.0040219547,11.8,0.0,0.75100005,0.75100005,0.0,-6.5868225,0.0,0.06522025,-0.06522025,0.9641745
21,0.6418997,1.6033832,10.302138,-5.5038757,0.065081835,11.8,0.0,0.0,0.0,0.0,-8.855316,0.0,0.05989021,-0.05989021,0.9641217
22,0.64111924,1.9504836,9.969533,-5.3134766,0.117089346,11.8,0.0,0.0,0.0,0.0,-8.294861,0.0,0.063257016,-0.063257016,0.9640689
23,0.64024365,1.1321032,10.70393,-6.0759277,6.759068e-05,11.8,0.0,5.3812494,0.0,5.3812494,-8.113861,0.0,0.06201313,-0.06201313,0.96401614
24,0.63889533,1.1056106,10.703495,-6.066864,0.0,11.8,0.0,3.88,3.88,0.0,-6.81131,0.0,0.064047635,-0.064047635,0.96396327
25,0.6378291,1.1032517,10.686105,-4.6148376,0.0,11.8,0.0,0.12525001,0.0,0.12525001,-7.9749756,0.0,0.06297918,-0.06297918,0.96391046
26,0.6364061,1.0916367,10.670658,-4.57724,0.0,11.8,0.0,3.8797503,0.47343498,3.4063153,-6.080536,0.0,0.0655888,-0.0655888,0.96385777
27,0.6349809,1.1715755,10.571215,-4.186798,3.976971e-05,11.8,0.0,0.25050002,0.25050002,0.0,-5.1522217,0.0,0.06809907,-0.06809907,0.96380496
28,0.63412285,1.3795029,10.364808,-3.7194824,0.0043800683,11.8,0.0,0.0,0.0,0.0,-2.7884521,0.0,0.07281449,-0.07281449,0.9637522
29,0.6341585,1.2915657,10.4461,-4.141266,0.011590858,11.8,0.0,0.0,0.0,0.0,-5.2695312,0.0,0.06502959,-0.06502959,0.96369946
30,0.6339946,1.2827239,10.451202,-4.1606445,0.012964236,11.8,0.0,0.0,0.0,0.0,-6.674591,0.0,0.06259991,-0.06259991,0.96364665
31,0.6333577,1.201705,10.513817,-4.2200623,0.00899057,11.8,0.0,0.0,0.0,0.0,-6.3856506,0.0,0.06377083,-0.06377083,0.96359384
32,0.6320502,1.1636212,10.52476,-3.1931763,0.009461655,11.8,0.0,0.0,0.0,0.0,-3.6227112,0.0,0.07106825,-0.07106825,0.9635412
33,0.63098985,1.2128783,10.460144,-1.497345,0.013930995,11.8,0.0,0.0,0.0,0.0,-2.1917725,0.0,0.07506945,-0.07506945,0.96348834
34,0.6278683,1.6599098,9.992968,-1.9546814,0.056126732,11.8,0.0,0.0,0.0,0.0,-2.2408447,0.0,0.07270318,-0.07270318,0.96343565
35,0.6250969,2.5634553,9.113589,-1.3618774,0.18253325,11.8,0.0,4.1297503,4.1297503,0.0,-0.37210083,0.0,0.07724386,-0.07724386,0.96338296
36,0.6262515,2.9488282,8.781378,-1.3849182,0.21041255,11.8,0.0,0.12525001,0.12525001,0.0,-0.436615,0.0,0.077223,-0.077223,0.96333015
37,0.6178086,3.3266542,8.280068,-1.5750732,0.23080914,11.8,0.0,1.964,0.0,1.964,-4.6783447,0.0,0.07002247,-0.07002247,0.96327734
38,0.6130042,3.258155,8.254768,-2.324585,0.22528823,11.8,0.0,5.04025,0.032608837,5.007641,-4.740387,0.0,0.069604546,-0.069604546,0.9632247
39,0.6027055,3.4551182,7.8852754,-2.359497,0.23956686,11.8,0.0,3.25125,3.1285,0.12275,-5.790344,0.0,0.06629654,-0.06629654,0.96317184
40,0.5950806,2.3507895,8.758105,-3.6643677,0.14059669,11.8,0.0,0.0,0.0,0.0,-10.125244,0.0,0.055485148,-0.055485148,0.96311903
41,0.6057595,1.2863766,9.930022,-3.9463806,0.023812555,11.8,0.0,1.473,0.0,1.473,-6.316101,0.0,0.064441636,-0.064441636,0.96306634
42,0.6031567,1.2256049,9.938015,-3.6344604,0.024116606,11.8,0.0,2.0032496,0.24443185,1.7588179,-4.640503,0.0,0.06827188,-0.06827188,0.96301365
43,0.6011711,1.1966931,9.92811,-4.78891,0.026475139,11.8,0.0,6.3824997,5.8033266,0.57917315,-5.6009216,0.0,0.065979905,-0.065979905,0.96296084
44,0.59996533,1.2171617,9.887226,-2.9468079,0.031504624,11.8,0.0,0.61375,0.0,0.61375,-4.7117004,0.0,0.06754845,-0.06754845,0.9629082
45,0.5979202,1.3186378,9.756665,-2.2232666,0.037582774,11.8,0.0,0.75100005,0.75100005,0.0,-6.136139,0.0,0.06448758,-0.06448758,0.96285546
46,0.5962591,1.3074778,9.736436,-2.3528748,0.039205194,11.8,0.0,0.0,0.0,0.0,-5.6309204,0.0,0.063641205,-0.063641205,0.9628027
47,0.59574836,1.3823241,9.658434,-1.2902527,0.04141611,11.8,0.0,0.25050002,0.25050002,0.0,-1.0357971,0.0,0.07290053,-0.07290053,0.9627501
48,0.5942289,1.5275027,9.497438,-2.3143005,0.042426433,11.8,0.0,0.0,0.0,0.0,-4.854767,0.0,0.066554375,-0.066554375,0.9626974
49,0.59227514,1.4319265,9.54925,-2.7340698,0.034181923,11.8,0.0,4.5562496,0.15536809,4.400882,-6.434601,0.0,0.063448645,-0.063448645,0.9626446
50,0.5908106,1.3504555,9.597098,-3.097351,0.032717742,11.8,0.0,1.473,0.0,1.473,-5.0798035,0.0,0.06543122,-0.06543122,0.9625919
51,0.58987504,1.371771,9.560394,-2.5223083,0.032623418,11.8,0.0,0.62625,0.621096,0.0051540374,-4.936249,0.0,0.06454526,-0.06454526,0.9625392
52,0.5883634,1.5827864,9.3391695,-1.8711548,0.04003108,11.8,0.0,1.0015,1.0015,0.0,-3.0132446,0.0,0.06729965,-0.06729965,0.9624865
53,0.5865439,1.9973772,8.925621,-1.5753479,0.07592213,11.8,0.0,1.0015,0.97013736,0.0313626,-2.222931,0.0,0.070651524,-0.070651524,0.9624337
54,0.5848824,2.3212035,8.598199,-0.99087524,0.13205954,11.8,0.0,1.4977499,1.368798,0.12895195,-0.6715698,0.0,0.07387732,-0.07387732,0.96238106
55,0.5814457,2.9630618,7.946586,-0.078063965,0.21183632,11.8,0.0,9.488,9.488,0.0,1.6857605,0.0,0.079437666,-0.079437666,0.9623283
56,0.5756968,3.2116868,7.6131625,-0.17556763,0.22957158,11.8,0.0,0.987,0.86912525,0.11787476,0.47998047,0.0,0.07813127,-0.07813127,0.9622756
57,0.57774264,2.4411705,8.357247,-1.9527893,0.1549582,11.8,0.0,3.2515,3.2312522,0.020247612,-3.2955933,0.0,0.06980369,-0.06980369,0.962223
58,0.5811141,2.078141,8.751977,-3.927887,0.13025215,11.8,0.0,4.0527496,1.8326916,2.2200582,-4.3237305,0.0,0.06728165,-0.06728165,0.96217024
59,0.5844108,2.7501445,8.196212,-1.9533386,0.22773528,11.8,0.0,3.0682502,3.0682502,0.0,-0.5933533,0.0,0.072588965,-0.072588965,0.96211755
60,0.5879058,4.613017,6.5520563,-1.412262,0.42401385,11.8,0.0,2.342,0.67949986,1.6625,-1.7952576,0.0,0.07161343,-0.07161343,0.9620649
61,0.5516986,4.250221,6.2207003,-1.5037231,0.33439997,11.8,0.0,2.0,1.8309413,0.16905877,-5.508972,0.0,0.063996956,-0.063996956,0.9620123
62,0.5281492,3.941943,6.071495,-1.4482727,0.29987305,11.8,0.0,0.86424994,0.5472892,0.31696078,-1.9717407,0.0,0.070942655,-0.070942655,0.9619596
63,0.5358677,4.731668,5.4888744,-0.2866516,0.36907092,11.8,0.0,1.964,1.964,0.0,0.040863037,0.0,0.07642329,-0.07642329,0.9619069
64,0.54080445,4.108824,6.150562,-2.3766785,0.29572612,11.8,0.0,1.84375,1.768625,0.07512495,-3.2404175,0.0,0.068751045,-0.068751045,0.9618543
65,0.55531824,2.730538,7.680633,-3.2705383,0.18070978,11.8,0.0,0.0,0.0,0.0,-4.7904663,0.0,0.0652814,-0.0652814,0.9618015
66,0.56675476,1.9521022,8.604204,-3.3170166,0.100365624,11.8,0.0,0.0,0.0,0.0,-5.3959656,0.0,0.06446203,-0.06446203,0.96174884
