site,plot,tag,species,litterMass.wcorr.T0,dowelMass.wcorr.T0,time.point,litterMass.wcorr,dowelMass.wcorr,mass.loss.litter,percent.loss.litter,mass.loss.dowel,percent.loss.dowel,days_elapsed,years_elapsed,k_litter,soil.vwc,GWC,WHC,MAT,MAP,Elevation,Longitude,Latitude,Species,soil.SIR,soil.pH,high.rep
BART,1,1,ACRU,5.487266766,2.205,1,4.150644338,2.194004509,1.336622427,0.243586194,0.010995491,0.004986617,299,0.819178082,0.340788769,14.43333333,0.482838484,0.644219816,6.2,1325,232,-71.29020112,44.06426246,ACRU,10.36437684,4.54,FALSE
BART,1,3,ACRU,5.55404095,2.439,2,3.5744,1.8541,1.97964095,0.356432545,0.5849,0.239811398,649,1.778082192,0.2478673,23.76666667,0.482838484,0.644219816,6.2,1325,232,-71.29020112,44.06426246,ACRU,10.36437684,4.54,FALSE
BART,2,77,FAGR,6.116090758,2.574,2,3.6316,0.7012,2.484490758,0.406222023,1.8728,0.727583528,630,1.726027397,0.301993935,27,0.623384689,0.719431608,6.2,1325,232,-71.28971358,44.06390482,FAGR,11.91453883,4.34,TRUE
BART,2,76,FAGR,6.097013744,2.115,2,2.836,0.7576,3.261013744,0.534854255,1.3574,0.64179669,630,1.726027397,0.443448635,27,0.623384689,0.719431608,6.2,1325,232,-71.28971358,44.06390482,FAGR,11.91453883,4.34,TRUE
BART,2,75,FAGR,6.081752133,2.385,1,4.867877139,2.385504213,1.213874994,0.199592974,-0.000504213,-0.00021141,280,0.767123288,0.290220492,8.9,0.623384689,0.719431608,6.2,1325,232,-71.28971358,44.06390482,FAGR,11.91453883,4.34,TRUE
BART,2,73,FAGR,6.116090758,2.16,2,3.5238,1.6479,2.592290758,0.42384766,0.5121,0.237083333,630,1.726027397,0.319452157,27,0.623384689,0.719431608,6.2,1325,232,-71.28971358,44.06390482,FAGR,11.91453883,4.34,TRUE
BART,2,70,FAGR,6.070305924,2.169,2,2.9494,0.594,3.120905924,0.514126629,1.575,0.726141079,630,1.726027397,0.418189911,27,0.623384689,0.719431608,6.2,1325,232,-71.28971358,44.06390482,FAGR,11.91453883,4.34,TRUE
BART,2,69,FAGR,6.116090758,2.259,1,4.833738177,2.175916217,1.282352581,0.209668664,0.083083783,0.03677901,280,0.767123288,0.30673428,8.9,0.623384689,0.719431608,6.2,1325,232,-71.28971358,44.06390482,FAGR,11.91453883,4.34,TRUE
BART,2,68,FAGR,6.135167773,2.115,1,5.113056913,2.172795698,1.02211086,0.166598681,-0.057795698,-0.027326571,280,0.767123288,0.237562828,8.9,0.623384689,0.719431608,6.2,1325,232,-71.28971358,44.06390482,FAGR,11.91453883,4.34,TRUE
BART,2,67,FAGR,6.089382938,2.286,2,3.2251,0.4307,2.864282938,0.470373266,1.8553,0.811592301,630,1.726027397,0.368234477,27,0.623384689,0.719431608,6.2,1325,232,-71.28971358,44.06390482,FAGR,11.91453883,4.34,TRUE
BART,2,20,FAGR,6.180952607,2.142,2,3.354159093,1.37848035,2.826793513,0.457339458,0.76351965,0.356451751,630,1.726027397,0.354149249,27,0.623384689,0.719431608,6.2,1325,232,-71.28971358,44.06390482,FAGR,11.91453883,4.34,TRUE
BART,2,21,FAGR,6.161875592,2.457,1,3.962077048,2.352121246,2.199798545,0.357001454,0.104878754,0.042685695,280,0.767123288,0.575673849,8.9,0.623384689,0.719431608,6.2,1325,232,-71.28971358,44.06390482,FAGR,11.91453883,4.34,TRUE
BART,2,14,FAGR,6.15806019,2.178,1,4.845453829,2.162800453,1.312606361,0.213152571,0.015199547,0.006978672,280,0.767123288,0.312493333,8.9,0.623384689,0.719431608,6.2,1325,232,-71.28971358,44.06390482,FAGR,11.91453883,4.34,TRUE
BART,2,13,FAGR,6.074121327,2.259,1,5.134806515,2.258349286,0.939314812,0.154642089,0.000650714,0.000288054,280,0.767123288,0.218993715,8.9,0.623384689,0.719431608,6.2,1325,232,-71.28971358,44.06390482,FAGR,11.91453883,4.34,TRUE
BART,2,98,FAGR,6.123721564,2.475,1,4.438541669,2.490869157,1.685179895,0.27518885,-0.015869157,-0.00641178,280,0.767123288,0.419546826,8.9,0.623384689,0.719431608,6.2,1325,232,-71.28971358,44.06390482,FAGR,11.91453883,4.34,TRUE
BART,3,22,ACRU,5.816943066,2.259,2,2.682,1.0751,3.134943066,0.538933084,1.1839,0.524081452,649,1.778082192,0.435419744,24.8,0.674084353,0.78369834,6.2,1325,232,-71.28882458,44.06392923,ACRU,17.17325542,4.11,TRUE
BART,3,24,ACRU,5.794672993,2.196,1,3.556478684,2.001091034,2.238194309,0.386250322,0.194908966,0.08875636,299,0.819178082,0.595924299,13.9,0.674084353,0.78369834,6.2,1325,232,-71.28882458,44.06392923,ACRU,17.17325542,4.11,TRUE
BART,3,25,ACRU,5.767948905,2.295,2,2.1893,0.8249,3.578648905,0.620436998,1.4701,0.640566449,649,1.778082192,0.544819968,24.8,0.674084353,0.78369834,6.2,1325,232,-71.28882458,44.06392923,ACRU,17.17325542,4.11,TRUE
BART,3,26,ACRU,5.683322628,2.403,1,3.634276748,2.338584271,2.04904588,0.360536611,0.064415729,0.026806379,299,0.819178082,0.545822598,13.9,0.674084353,0.78369834,6.2,1325,232,-71.28882458,44.06392923,ACRU,17.17325542,4.11,TRUE
BART,3,27,ACRU,5.696684672,2.196,1,3.238866396,2.105917455,2.457818275,0.431447134,0.090082545,0.041021195,299,0.819178082,0.689301863,13.9,0.674084353,0.78369834,6.2,1325,232,-71.28882458,44.06392923,ACRU,17.17325542,4.11,TRUE
BART,3,28,ACRU,5.767948905,2.295,1,3.793164647,2.033709204,1.974784258,0.34237201,0.261290796,0.113852199,299,0.819178082,0.511629743,13.9,0.674084353,0.78369834,6.2,1325,232,-71.28882458,44.06392923,ACRU,17.17325542,4.11,TRUE
BART,3,30,ACRU,5.692230657,2.133,2,2.9424,1.775,2.749830657,0.483084896,0.358,0.167838725,649,1.778082192,0.371117056,24.8,0.674084353,0.78369834,6.2,1325,232,-71.28882458,44.06392923,ACRU,17.17325542,4.11,TRUE
BART,3,32,ACRU,5.701138686,2.124,2,2.963727574,1.533528447,2.737411112,0.480151644,0.590471553,0.27799979,649,1.778082192,0.367934697,24.8,0.674084353,0.78369834,6.2,1325,232,-71.28882458,44.06392923,ACRU,17.17325542,4.11,TRUE
