"","site_code","site","plot","time.point","material","species","soil.vwc","soil.pH","moisturePercent.whc","moisturePercent.gwc","MAT","MAP","Elevation","Longitude","Latitude","soil.SIR","high.rep","moisture.trt","temp.trt","cumulativeCO2Flux_mgCpergramSL","perc_decomp_T1","perc_decomp_T2","moist_temp_resp_40_25","moist_temp_resp_80_25","moist_temp_resp_40_15","moist_temp_resp_80_15","ligninPercent","nitrogenPercent","carbonPercent","site_plot","site_time","material_site_time","material_time","inc_trt","K","r","rK_NA","Copiotroph","Oligotroph","CO_NA","r_K","C_O","copiotroph","oligotroph","CO.eggo","copio.genus","oligo.genus","CO.genus.eggo"
"1","L1119a","SERC",1,1,"litter","FAGR",22.46666667,4.58,41.99419768,30.37806809,13.6,1075,15,-76.55624626,38.89922421,5.320137746,FALSE,NA,NA,NA,0.212568925,NA,NA,NA,NA,NA,20.99888889,1.689444444,48.63,"SERC-1","SERC-1","litterSERC-1","litter1","TNA_MNA","569","932","946","1021"," 119","1307",1.63796133567663,8.57983193277311,"707"," 30",23.5666666666667,"1717"," 399",4.30325814536341
"2","L1122","SERC",2,1,"litter","LITU",30.13333333,5.43,36.6515014,28.490589,13.6,1075,15,-76.55678514,38.89871357,5.207475254,FALSE,NA,NA,NA,0.547537345,0.865235607,NA,NA,NA,NA,15.02307692,2.041538462,48.79038462,"SERC-2","SERC-1","litterSERC-1","litter1","TNA_MNA"," 520","1346"," 581","1258"," 278"," 911",2.58846153846154,4.52517985611511,"945","160",5.90625,"1638"," 448",3.65625
"3","L1123a","SERC",3,1,"litter","FAGR",29.2,5.45,37.94078317,31.01509914,13.6,1075,15,-76.55771719,38.8981355,4.001777308,FALSE,NA,NA,NA,0.287694556,NA,NA,NA,NA,NA,20.99888889,1.689444444,48.63,"SERC-3","SERC-1","litterSERC-1","litter1","TNA_MNA"," 673","1258"," 516","1088"," 194","1165",1.86924219910847,5.60824742268041,"835","175",4.77142857142857,"1800"," 389",4.62724935732648
"4","L1127a","SERC",4,1,"litter","ACRU",33.16666667,5.97,36.30993608,28.63147974,13.6,1075,15,-76.55790267,38.89693804,5.215046126,FALSE,NA,NA,NA,0.472461845,NA,NA,NA,NA,NA,10.89166667,1.521666667,48.75666667,"SERC-4","SERC-1","litterSERC-1","litter1","TNA_MNA"," 256","1464"," 727","1008"," 123","1316",5.71875,8.19512195121951,"874"," 58",15.0689655172414,"1759"," 330",5.33030303030303
"5","L1151a","SERC",7,1,"litter","FAGR",23.5,4.45,31.20064402,23.82504025,13.6,1075,15,-76.55567094,38.8952141,4.19098673,FALSE,NA,NA,NA,0.149254963,NA,NA,NA,NA,NA,20.99888889,1.689444444,48.63,"SERC-7","SERC-1","litterSERC-1","litter1","TNA_MNA"," 475","1325"," 647","1271"," 109","1067",2.78947368421053,11.6605504587156,"1078","  33",32.6666666666667,"1332"," 451",2.95343680709534
"6","L1153","SERC",8,1,"litter","LITU",31.6,5.48,39.66257732,29.04578374,13.6,1075,15,-76.55618099,38.89412723,6.538776456,FALSE,NA,NA,NA,0.426538364,0.557672746,50.28540283,48.25594341,15.1708777,24.34847102,15.02307692,2.041538462,48.79038462,"SERC-8","SERC-1","litterSERC-1","litter1","TNA_MNA"," 474","1224"," 749","1259"," 178","1010",2.58227848101266,7.07303370786517,"938","129",7.27131782945736,"1891"," 308",6.13961038961039
"7","L1168a","SERC",9,1,"litter","ACRU",34,4.83,42.87636396,30.41308729,13.6,1075,15,-76.55639034,38.89325803,4.540871993,TRUE,NA,NA,NA,0.465193,0.769634833,47.6368111,47.67289723,14.77362722,25.57550174,10.89166667,1.521666667,48.75666667,"SERC-9","SERC-1","litterSERC-1","litter1","TNA_MNA"," 415","1135"," 897"," 946"," 171","1330",2.73493975903614,5.53216374269006,"598"," 64",9.34375,"1764"," 393",4.48854961832061
"8","L1176a","SERC",10,1,"litter","FAGR",20.9,4.71,38.54498103,25.26739853,13.6,1075,15,-76.5571512,38.8927417,4.945373558,TRUE,NA,NA,NA,0.205907289,0.403052947,30.09068599,40.67289186,13.79630231,27.44269641,20.99888889,1.689444444,48.63,"SERC-10","SERC-1","litterSERC-1","litter1","TNA_MNA","547","999","901"," 928"," 168","1351",1.82632541133455,5.52380952380952,"623"," 72",8.65277777777778,"1724"," 423",4.07565011820331
"9","L1193a","SERC",11,1,"litter","ACRU",40.1,4.94,44.91414969,33.96729609,13.6,1075,15,-76.55690293,38.89219031,6.044080436,FALSE,NA,NA,NA,0.42736944,0.946121325,NA,NA,NA,NA,10.89166667,1.521666667,48.75666667,"SERC-11","SERC-1","litterSERC-1","litter1","TNA_MNA"," 473","1588"," 386","1530","  66"," 851",3.35729386892178,23.1818181818182,"1294","  28",46.2142857142857,"1259"," 965",1.30466321243523
"10","L1199a","SERC",13,1,"litter","ACRU",33.9,5.1,33.00565236,27.08585248,13.6,1075,15,-76.55480418,38.89125864,4.417607575,FALSE,NA,NA,NA,0.458307018,0.884767973,NA,NA,NA,NA,10.89166667,1.521666667,48.75666667,"SERC-13","SERC-1","litterSERC-1","litter1","TNA_MNA"," 541","1177"," 729","1070"," 136","1241",2.17560073937153,7.86764705882353,"766"," 52",14.7307692307692,"1773"," 378",4.69047619047619
"11","L1202a","SERC",14,1,"litter","FAGR",34.4,5.67,40.68798115,31.56980941,13.6,1075,15,-76.55568351,38.88966973,5.920830939,FALSE,NA,NA,NA,0.191465696,NA,NA,NA,NA,NA,20.99888889,1.689444444,48.63,"SERC-14","SERC-1","litterSERC-1","litter1","TNA_MNA"," 411","1006","1030"," 883"," 352","1212",2.44768856447689,2.50852272727273,"732","109",6.71559633027523,"1685"," 383",4.39947780678851
"12","L1207a","SERC",16,1,"litter","ACRU",30.23333333,5.71,32.15773847,23.01973806,13.6,1075,15,-76.55665979,38.88790815,5.084518132,FALSE,NA,NA,NA,0.40251894,0.93642515,NA,NA,NA,NA,10.89166667,1.521666667,48.75666667,"SERC-16","SERC-1","litterSERC-1","litter1","TNA_MNA"," 502","1222"," 723","1025"," 110","1312",2.43426294820717,9.31818181818182,"816"," 56",14.5714285714286,"1672"," 373",4.48257372654156
"13","L1211a","SERC",17,1,"litter","FAGR",24.8,4.78,35.96407419,25.91681616,13.6,1075,15,-76.56068474,38.88698377,3.894151551,FALSE,NA,NA,NA,0.123793314,NA,NA,NA,NA,NA,20.99888889,1.689444444,48.63,"SERC-17","SERC-1","litterSERC-1","litter1","TNA_MNA"," 659","1392"," 396","1276","  88","1083",2.11229135053111,14.5,"1159","  57",20.3333333333333,"1644"," 326",5.04294478527607
"14","L1215a","SERC",18,1,"litter","ACRU",34.9,5.25,38.20042898,27.50649074,13.6,1075,15,-76.5602168,38.8866554,5.077994953,FALSE,NA,NA,NA,0.4267183,NA,NA,NA,NA,NA,10.89166667,1.521666667,48.75666667,"SERC-18","SERC-1","litterSERC-1","litter1","TNA_MNA"," 829","1215"," 403","1081","  35","1331",1.46562123039807,30.8857142857143,"938"," 30",31.2666666666667,"1905"," 273",6.97802197802198
"15","L1216","SERC",19,1,"litter","LITU",38.93333333,6.54,36.97358458,28.12844298,13.6,1075,15,-76.55945326,38.88610565,6.126539391,FALSE,NA,NA,NA,0.618274496,0.813313452,39.65346461,44.6974156,17.25169004,19.8210703,15.02307692,2.041538462,48.79038462,"SERC-19","SERC-1","litterSERC-1","litter1","TNA_MNA","817","963","667","1174"," 219","1054",1.17870257037944,5.36073059360731,"689","179",3.84916201117318,"1860"," 357",5.21008403361345
"16","L1233a","SERC",20,1,"litter","FAGR",16.96666667,4.49,36.53492319,24.55320429,13.6,1075,15,-76.56112941,38.88562898,4.389189027,TRUE,NA,NA,NA,0.244493427,0.43812155,27.99466295,40.6405849,17.00022844,26.60768792,20.99888889,1.689444444,48.63,"SERC-20","SERC-1","litterSERC-1","litter1","TNA_MNA","1031","1038"," 378","1498"," 185"," 764",1.00678952473327,8.0972972972973,"794"," 89",8.92134831460674,"1731"," 407",4.25307125307125
"17","L1239","SERC",21,1,"litter","LITU",19.63333333,4.69,33.82059027,22.76632633,13.6,1075,15,-76.56181287,38.88611965,4.409133585,FALSE,NA,NA,NA,0.360182983,0.540045467,NA,NA,NA,NA,15.02307692,2.041538462,48.79038462,"SERC-21","SERC-1","litterSERC-1","litter1","TNA_MNA"," 661","1301"," 485","1364","  90"," 993",1.96822995461422,15.1555555555556,"802"," 54",14.8518518518519,"1802"," 338",5.33136094674556
"18","L123a","BART",20,1,"litter","FAGR",20.7,4.13,62.98978991,49.14695341,6.2,1325,232,-71.29084523,44.06029496,10.75668644,TRUE,NA,NA,NA,0.132059754,0.321248805,NA,NA,NA,NA,22.222,1.654,51.745,"BART-20","BART-1","litterBART-1","litter1","TNA_MNA"," 976","1384","  87","1384","   9","1054",1.41803278688525,153.777777777778,"1261","   7",180.142857142857,"1902"," 221",8.60633484162896
"19","L1242a","SERC",22,1,"litter","ACRU",40.7,5.4,65.05153696,55.62095937,13.6,1075,15,-76.56157371,38.88736249,12.03256643,FALSE,NA,NA,NA,0.349304129,NA,NA,NA,NA,NA,10.89166667,1.521666667,48.75666667,"SERC-22","SERC-1","litterSERC-1","litter1","TNA_MNA"," 357","1096"," 994"," 856"," 154","1437",3.07002801120448,5.55844155844156,"634"," 79",8.0253164556962,"1770"," 375",4.72
"20","L1250a","SERC",24,1,"litter","FAGR",25.3,5.23,42.43184949,30.3151192,13.6,1075,15,-76.56293248,38.88898374,5.382236782,TRUE,NA,NA,NA,0.292159952,0.652153221,NA,NA,NA,NA,20.99888889,1.689444444,48.63,"SERC-24","SERC-1","litterSERC-1","litter1","TNA_MNA","624","991","832"," 994"," 175","1278",1.58814102564103,5.68,"644"," 96",6.70833333333333,"1783"," 363",4.91184573002755
"21","L1270a","SERC",25,1,"litter","ACRU",25.5,4.97,33.41855036,26.96905978,13.6,1075,15,-76.56318397,38.88987665,4.642152566,TRUE,NA,NA,NA,0.401548576,0.69870361,NA,NA,NA,NA,10.89166667,1.521666667,48.75666667,"SERC-25","SERC-1","litterSERC-1","litter1","TNA_MNA"," 563","1288"," 596","1264"," 135","1048",2.28774422735346,9.36296296296296,"1014","  39",26,"1571"," 413",3.80387409200969
"22","L1285a","SERC",27,1,"litter","FAGR",17.46666667,4.76,36.12617233,25.09711571,13.6,1075,15,-76.56345901,38.89161593,3.75106855,FALSE,NA,NA,NA,0.369594547,NA,NA,NA,NA,NA,20.99888889,1.689444444,48.63,"SERC-27","SERC-1","litterSERC-1","litter1","TNA_MNA"," 670","1360"," 417","1546","  80"," 821",2.02985074626866,19.325,"1117","  50",22.34,"1635"," 418",3.91148325358852
"23","L1298a","SERC",28,1,"litter","ACRU",47.56666667,5.67,34.86681442,36.15461317,13.6,1075,15,-76.56357174,38.89193464,3.339788682,TRUE,NA,NA,NA,0.430485642,0.854965288,38.91426085,45.76042766,19.7717801,24.85246524,10.89166667,1.521666667,48.75666667,"SERC-28","SERC-1","litterSERC-1","litter1","TNA_MNA"," 566","1444"," 437","1238","  57","1152",2.55123674911661,21.719298245614,"837"," 37",22.6216216216216,"1667"," 430",3.87674418604651
"24","L1330a","SERC",36,1,"litter","FAGR",38.73333333,5.84,39.88952675,28.89856282,13.6,1075,15,-76.55916494,38.89669237,6.006608499,TRUE,NA,NA,NA,0.343813181,0.585654446,NA,NA,NA,NA,20.99888889,1.689444444,48.63,"SERC-36","SERC-1","litterSERC-1","litter1","TNA_MNA"," 294","1417"," 736","1027"," 176","1244",4.81972789115646,5.83522727272727,"900"," 50",18,"1658"," 317",5.23028391167192
"25","L1358","TALL",5,1,"litter","PIPA",11.1,4.6,35.00383567,17.98174987,17.2,1383,135,-87.42573023,32.95089252,3.359572105,TRUE,NA,NA,NA,0.131037255,0.233070054,NA,NA,NA,NA,19.02933333,0.791666667,49.87233333,"TALL-5","TALL-1","litterTALL-1","litter1","TNA_MNA"," 788","1389"," 270","1486","  51"," 910",1.76269035532995,29.1372549019608,"1366","   3",455.333333333333,"1645"," 204",8.06372549019608
"26","L1391","TALL",6,1,"litter","QUFA",15.63333333,4.59,34.02273743,18.1046444,17.2,1383,135,-87.42528368,32.95113896,3.641509228,TRUE,NA,NA,NA,0.171235704,0.24747662,NA,NA,NA,NA,18.78428571,1.632857143,49.90428571,"TALL-6","TALL-1","litterTALL-1","litter1","TNA_MNA","904","830","713","1398","  88"," 961",0.918141592920354,15.8863636363636,"787"," 26",30.2692307692308,"1572"," 475",3.30947368421053
"27","L1398","TALL",8,1,"litter","LITU",45.4,4.61,50.0965458,36.78445904,17.2,1383,135,-87.42435959,32.95207733,4.149905601,FALSE,NA,NA,NA,0.313033966,0.526770783,NA,NA,NA,NA,16.56857143,2.624285714,48.58571429,"TALL-8","TALL-1","litterTALL-1","litter1","TNA_MNA"," 365","1103"," 979"," 879"," 221","1347",3.02191780821918,3.97737556561086,"633"," 68",9.30882352941176,"1655"," 414",3.9975845410628
