,H2OSOI,SOILLIQ,SOILICE,TSOI,W_SCALAR,PCT_CLAY,AGNPP,PRECIP,RAIN,SNOW,TBOT,GPP,AR,NPP,LITFALL
0,0.17736062,3.5472126,0.0,6.6207275,0.7353197,11.5,0.0,2.25,2.25,0.0,2.9344177,0.0,0.12000181,-0.12000181,1.1607819
1,0.22395362,3.0305266,1.3283165,5.545807,0.6024946,11.5,0.0,3.89375,3.7133389,0.18041101,3.3903503,0.0,0.124445215,-0.124445215,1.1607466
2,0.24148476,3.0351903,1.6455607,4.136139,0.5807008,11.5,0.0,3.14275,3.14275,0.0,2.4215088,0.0,0.117430575,-0.117430575,1.1606765
3,0.23471977,3.0697632,1.4897878,5.385895,0.6074358,11.5,0.0,3.2514997,3.2514997,0.0,4.0104065,0.0,0.12455422,-0.12455422,1.160606
4,0.22857046,2.9795535,1.4597317,5.3065186,0.58241355,11.5,0.0,2.61125,2.61125,0.0,3.926422,0.0,0.12336303,-0.12336303,1.1605492
5,0.23285261,3.0686162,1.4565957,4.023773,0.5878671,11.5,0.0,2.8735003,2.8735003,0.0,1.677887,0.0,0.114820674,-0.114820674,1.1604705
6,0.21751483,2.818781,1.4044,3.3123474,0.5625812,11.5,0.0,0.0,0.0,0.0,1.842102,0.0,0.11463457,-0.11463457,1.1604072
7,0.20988968,2.7196007,1.3555028,1.7026672,0.5510322,11.5,0.0,1.49225,1.1815487,0.3107012,-0.08279419,0.0,0.10469426,-0.10469426,1.1603439
8,0.21009827,2.9933631,1.108288,2.530304,0.60649174,11.5,0.0,1.245,1.0673236,0.17767644,1.0992737,0.0,0.10871997,-0.10871997,1.1602852
9,0.18019617,3.38675,0.19914788,3.9154663,0.71405315,11.5,0.0,1.247,1.247,0.0,3.1054382,0.0,0.11481096,-0.11481096,1.160227
10,0.17059015,3.340663,0.06523533,3.4361572,0.7124369,11.5,0.0,0.0,0.0,0.0,2.9831238,0.0,0.111723214,-0.111723214,1.1601646
11,0.17984581,3.1482644,0.41141343,5.632538,0.68425304,11.5,0.0,0.0,0.0,0.0,5.725769,0.0,0.12585405,-0.12585405,1.1601025
12,0.1862279,3.6248412,0.09144049,8.142731,0.7423571,11.5,0.0,6.0822496,6.0822496,0.0,7.974457,0.0,0.14176954,-0.14176954,1.160028
13,0.19319908,3.5584235,0.280197,5.5138855,0.73475736,11.5,0.0,1.23975,1.23975,0.0,4.0252075,0.0,0.12037808,-0.12037808,1.1599681
